#RANK	ID	GENE_SYMBOL	ENTREZ_GENE_ID	MOI	P-VALUE	EXOMISER_GENE_COMBINED_SCORE	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
295	EPC2_AD	EPC2	26122	AD	0.3651	0.0365	0.5045	0.5195	0.0000	0.2591	0.0000	0.5045	0.5045	1.0000	0		Epileptic spasm (HP:0011097)-abnormal retina morphology (MP:0001325), 		Proximity to ACTL6B associated with Intellectual developmental disorder with severe speech and ambulation defects (OMIM:618470): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to ACTL6B Epileptic spasm (HP:0011097)-abnormal myelination (MP:0000920), 	
295	IRAK2_AD	IRAK2	3656	AD	0.3652	0.0365	0.5106	0.5125	0.0000	0.0000	0.0000	0.5106	0.5106	1.0000	0				Proximity to COQ8A associated with Coenzyme Q10 deficiency, primary, 4 (OMIM:612016): Epileptic spasm (HP:0011097)-Generalized tonic seizure (HP:0010818), 	Proximity to COQ8A Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 	
297	ARHGAP26_AD	ARHGAP26	23092	AD	0.3659	0.0362	0.5005	0.5230	0.0000	0.0000	0.0000	0.5005	0.5005	1.0000	0				Proximity to OPHN1 associated with X-linked intellectual disability-cerebellar hypoplasia syndrome (ORPHA:137831): Epileptic spasm (HP:0011097)-Generalized myoclonic seizure (HP:0002123), 	Proximity to OPHN1 Epileptic spasm (HP:0011097)-abnormal excitatory postsynaptic potential (MP:0002912), 	
298	ATP10A_AR	ATP10A	57194	AR	0.3662	0.0361	0.5026	0.5203	0.0000	0.2335	0.0000	0.5026	0.5026	1.0000	0		Epileptic spasm (HP:0011097)-abnormal retina vasculature morphology (MP:0002792), 		Proximity to UBE3A associated with Angelman syndrome due to paternal uniparental disomy of chromosome 15 (ORPHA:98795): Epileptic spasm (HP:0011097)-Bilateral tonic-clonic seizure with generalized onset (HP:0025190), 	Proximity to UBE3A Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 	
299	ERC2_AD	ERC2	26059	AD	0.3663	0.0360	0.5006	0.5224	0.0000	0.4867	0.0000	0.5006	0.5006	1.0000	0		Epileptic spasm (HP:0011097)-abnormal synaptic neurotransmitter level (MP:0002204), 		Proximity to VPS53 associated with Pontocerebellar hypoplasia, type 2E (OMIM:615851): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
300	SLC27A6_AD	SLC27A6	28965	AD	0.3682	0.0352	0.5007	0.5198	0.0000	0.0000	0.0000	0.5007	0.5007	1.0000	0				Proximity to PPT1 associated with Late infantile neuronal ceroid lipofuscinosis (ORPHA:168491): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to PPT1 Epileptic spasm (HP:0011097)-seizures (MP:0002064), 	
301	VTA1_AR	VTA1	51534	AR	0.3687	0.0350	0.5026	0.5170	0.0000	0.0000	0.0000	0.5026	0.5026	1.0000	0				Proximity to NEDD4L associated with Periventricular nodular heterotopia 7 (OMIM:617201): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to NEDD4L Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 	
302	BAZ2B_AR	BAZ2B	29994	AR	0.3698	0.0346	0.5000	0.5184	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to ACTL6B associated with Intellectual developmental disorder with severe speech and ambulation defects (OMIM:618470): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to ACTL6B Epileptic spasm (HP:0011097)-abnormal myelination (MP:0000920), 	
303	DGKE_AD	DGKE	8526	AD	0.3702	0.0344	0.2503	0.8005	0.0000	0.4921	0.0000	0.5006	0.5006	0.5000	0		Epileptic spasm (HP:0011097)-tonic seizures (MP:0002826), 		Proximity to NUS1 associated with Intellectual developmental disorder, autosomal dominant 55, with seizures (OMIM:617831): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 		
304	RASA3_AR	RASA3	22821	AR	0.3723	0.0336	0.5006	0.5145	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to PTEN associated with Bilateral frontoparietal polymicrogyria (ORPHA:101070): Epileptic spasm (HP:0011097)-Atonic seizure (HP:0010819), 	Proximity to PTEN Epileptic spasm (HP:0011097)-abnormal CNS synaptic transmission (MP:0002206), 	
305	DLGAP2_AD	DLGAP2	9228	AD	0.3737	0.0330	0.5002	0.5131	0.0000	0.4390	0.0000	0.5002	0.5002	1.0000	0		Epileptic spasm (HP:0011097)-abnormal neuron physiology (MP:0004811), 		Proximity to TSC1 associated with Tuberous sclerosis-1 (OMIM:191100): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to TSC1 Epileptic spasm (HP:0011097)-exencephaly (MP:0000914), 	
306	KALRN_AD	KALRN	8997	AD	0.3755	0.0323	0.5038	0.5066	0.0000	0.4688	0.0000	0.5038	0.5038	1.0000	0		Epileptic spasm (HP:0011097)-abnormal action potential (MP:0005402), 		Proximity to OPHN1 associated with X-linked intellectual disability-cerebellar hypoplasia syndrome (ORPHA:137831): Epileptic spasm (HP:0011097)-Generalized myoclonic seizure (HP:0002123), 	Proximity to OPHN1 Epileptic spasm (HP:0011097)-abnormal excitatory postsynaptic potential (MP:0002912), 	
307	ACBD5_AR	ACBD5	91452	AR	0.3758	0.0322	0.4110	0.6113	0.0000	0.4110	0.0000	0.0000	0.4110	1.0000	0		Epileptic spasm (HP:0011097)-demyelination (MP:0000921), 				
308	PHF21B_AD	PHF21B	112885	AD	0.3761	0.0321	0.4070	0.6155	0.0000	0.4070	0.0000	0.0000	0.4070	1.0000	0		Epileptic spasm (HP:0011097)-reduced long-term potentiation (MP:0001473), 				
309	NGEF_AR	NGEF	25791	AR	0.3764	0.0320	0.5035	0.5059	0.0000	0.3221	0.0000	0.5035	0.5035	1.0000	0		Epileptic spasm (HP:0011097)-abnormal axon extension (MP:0003651), 		Proximity to OPHN1 associated with X-linked intellectual disability-cerebellar hypoplasia syndrome (ORPHA:137831): Epileptic spasm (HP:0011097)-Generalized myoclonic seizure (HP:0002123), 	Proximity to OPHN1 Epileptic spasm (HP:0011097)-abnormal excitatory postsynaptic potential (MP:0002912), 	
310	PHLDB2_AD	PHLDB2	90102	AD	0.3787	0.0311	0.5001	0.5066	0.0000	0.2381	0.0000	0.5001	0.5001	1.0000	0		Epileptic spasm (HP:0011097)-absent optic nerve (MP:0001333), 		Proximity to GPHN associated with Molybdenum cofactor deficiency C (OMIM:615501): Epileptic spasm (HP:0011097)-Generalized myoclonic seizure (HP:0002123), 	Proximity to GPHN Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 	
310	ROPN1L_AR	ROPN1L	83853	AR	0.3788	0.0311	0.5000	0.5066	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to SCN2A associated with Infantile spasms syndrome (ORPHA:3451): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to SCN2A Epileptic spasm (HP:0011097)-abnormal action potential (MP:0005402), 	
312	PCDH15_AR	PCDH15	65217	AR	0.3798	0.0308	0.5262	0.4757	0.0000	0.3515	0.4365	0.5262	0.5262	1.0000	0		Epileptic spasm (HP:0011097)-abnormal hair cell mechanoelectric transduction (MP:0004431), 	Epileptic spasm (HP:0011097)-neuromast hair cell decreased functionality, abnormal (ZP:0008175), 	Proximity to HCN1 associated with Developmental and epileptic encephalopathy 24 (OMIM:615871): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to HCN1 Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 	
312	EBF2_AR	EBF2	64641	AR	0.3798	0.0308	0.5003	0.5050	0.0000	0.4613	0.0000	0.5003	0.5003	1.0000	0		Epileptic spasm (HP:0011097)-decreased nerve conduction velocity (MP:0008814), 		Proximity to NPRL3 associated with Familial focal epilepsy with variable foci (ORPHA:98820): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
314	EEF1A2_AD	EEF1A2	1917	AD	0.3811	0.0303	0.9448	0.0000	0.9448	0.4558	0.0000	0.5001	0.9448	1.0000	0	Intellectual developmental disorder, autosomal dominant 38 (OMIM:616393): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Epileptic spasm (HP:0011097)-sporadic seizures (MP:0000951), 		Proximity to AARS1 associated with Developmental and epileptic encephalopathy 29 (OMIM:616339): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to AARS1 Epileptic spasm (HP:0011097)-Purkinje cell degeneration (MP:0000876), 	
315	CABP1_AD	CABP1	9478	AD	0.3813	0.0302	0.5044	0.4983	0.0000	0.0000	0.0000	0.5044	0.5044	1.0000	0				Proximity to CACNA1A associated with Developmental and epileptic encephalopathy 42 (OMIM:617106): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to CACNA1A Epileptic spasm (HP:0011097)-abnormal nervous system physiology (MP:0003633), 	Proximity to CACNA1A Epileptic spasm (HP:0011097)-motor neuron activation quality, abnormal (ZP:0018723), 
316	CACNA1G_AR	CACNA1G	8913	AR	0.3818	0.0300	0.2647	0.7688	0.5606	0.5294	0.0000	0.5069	0.5606	0.5000	0	Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits (OMIM:618087): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 	Epileptic spasm (HP:0011097)-abnormal nervous system physiology (MP:0003633), 		Proximity to NEUROG1 associated with Cranial dysinnervation disorder, congenital, with absent corneal reflex and developmental delay (OMIM:620469): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to NEUROG1 Epileptic spasm (HP:0011097)-abnormal cranial nerve morphology (MP:0001056), 	
317	BHLHE23_AR	BHLHE23	128408	AR	0.3820	0.0299	0.5000	0.5023	0.0000	0.2279	0.0000	0.5000	0.5000	1.0000	0		Epileptic spasm (HP:0011097)-abnormal retina rod bipolar cell morphology (MP:0006074), 		Proximity to NEUROG1 associated with Cranial dysinnervation disorder, congenital, with absent corneal reflex and developmental delay (OMIM:620469): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 	Proximity to NEUROG1 Epileptic spasm (HP:0011097)-abnormal cranial nerve morphology (MP:0001056), 	
318	RUSC2_AR	RUSC2	9853	AR	0.3837	0.0293	0.9417	0.0000	0.9417	0.0000	0.0000	0.5092	0.9417	1.0000	0	Intellectual developmental disorder, autosomal recessive 61 (OMIM:617773): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 			Proximity to GOLGA2 associated with Developmental delay with hypotonia, myopathy, and brain abnormalities (OMIM:620240): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to GOLGA2 Epileptic spasm (HP:0011097)-decreased Purkinje cell number (MP:0000880), 	
319	SPAG9_AD	SPAG9	9043	AD	0.3840	0.0292	0.5061	0.4924	0.0000	0.0000	0.0000	0.5061	0.5061	1.0000	0				Proximity to CTNNA2 associated with Cortical dysplasia, complex, with other brain malformations 9 (OMIM:618174): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to CTNNA2 Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 	
320	TRIM8_AR	TRIM8	81603	AR	0.3845	0.0290	0.8411	0.1126	0.8411	0.0000	0.0000	0.5000	0.8411	1.0000	0	Early infantile epileptic encephalopathy (ORPHA:1934): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 			Proximity to IFNG associated with TSC2 angiomyolipomas, renal, modifier of (OMIM:613254): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to IFNG Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 	
321	TENM2_AR	TENM2	57451	AR	0.3847	0.0289	0.2874	0.7390	0.0000	0.2874	0.0000	0.0000	0.2874	1.0000	0		Epileptic spasm (HP:0011097)-abnormal lateral geniculate nucleus morphology (MP:0004165), 				
322	OR8B8_AR	OR8B8	26493	AR	0.3856	0.0286	0.5000	0.4972	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to MFF associated with Encephalopathy due to defective mitochondrial and peroxisomal fission 2 (OMIM:617086): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 		
323	CAPN1_AD	CAPN1	823	AD	0.3884	0.0277	0.2513	0.7751	0.0000	0.0000	0.0000	0.5026	0.5026	0.5000	0				Proximity to GRIN2B associated with Infantile spasms syndrome (ORPHA:3451): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to GRIN2B Epileptic spasm (HP:0011097)-abnormal nervous system physiology (MP:0003633), 	
324	CACHD1_AR	CACHD1	57685	AR	0.3887	0.0276	0.2482	0.7783	0.0000	0.2482	0.0000	0.0000	0.2482	1.0000	0		Epileptic spasm (HP:0011097)-decreased otolith number (MP:0003144), 				
325	SFRP1_AD	SFRP1	6422	AD	0.3894	0.0274	0.5002	0.4921	0.0000	0.2831	0.0000	0.5002	0.5002	1.0000	0		Epileptic spasm (HP:0011097)-decreased brain weight (MP:0002175), 		Proximity to EN1 associated with ?ENDOVE syndrome, limb-brain type (OMIM:619218): Epileptic spasm (HP:0011097)-Focal tonic seizure (HP:0011167), 	Proximity to EN1 Epileptic spasm (HP:0011097)-abnormal CNS synaptic transmission (MP:0002206), 	
326	ANP32E_AD	ANP32E	81611	AD	0.3900	0.0272	0.5003	0.4911	0.0000	0.0000	0.0000	0.5003	0.5003	1.0000	0				Proximity to ACTL6B associated with Intellectual developmental disorder with severe speech and ambulation defects (OMIM:618470): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to ACTL6B Epileptic spasm (HP:0011097)-abnormal myelination (MP:0000920), 	
327	MMP26_AD	MMP26	56547	AD	0.3914	0.0267	0.5000	0.4894	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to KDM4B associated with Intellectual developmental disorder, autosomal dominant 65 (OMIM:619320): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to KDM4B Epileptic spasm (HP:0011097)-abnormal brain size (MP:0000771), 	
328	OGDH_AR	OGDH	4967	AR	0.3960	0.0253	0.5477	0.4295	0.5477	0.0000	0.0000	0.5230	0.5477	1.0000	0	Oxoglutarate dehydrogenase deficiency (OMIM:203740): Epileptic spasm (HP:0011097)-Bilateral tonic-clonic seizure (HP:0002069), 			Proximity to SLC25A12 associated with Developmental and epileptic encephalopathy 39 (OMIM:612949): Epileptic spasm (HP:0011097)-Tonic seizure (HP:0032792), 	Proximity to SLC25A12 Epileptic spasm (HP:0011097)-abnormal nervous system physiology (MP:0003633), 	
329	PIGG_AD	PIGG	54872	AD	0.3963	0.0252	0.2615	0.7531	0.5606	0.0000	0.0000	0.5229	0.5606	0.5000	0	Neurodevelopmental disorder with or without hypotonia, seizures, and cerebellar atrophy (OMIM:616917): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 			Proximity to PIGW associated with Glycosylphosphatidylinositol biosynthesis defect 11 (OMIM:616025): Epileptic spasm (HP:0011097)-Tonic seizure (HP:0032792), 		
330	RIGI_AR	RIGI	23586	AR	0.3973	0.0249	0.2507	0.7640	0.0000	0.0000	0.0000	0.5015	0.5015	0.5000	0				Proximity to IFNG associated with TSC2 angiomyolipomas, renal, modifier of (OMIM:613254): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to IFNG Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 	
331	LRP1B_AD	LRP1B	53353	AD	0.3976	0.0248	0.5001	0.4813	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to CNPY3 associated with Infantile spasms syndrome (ORPHA:3451): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
332	ALDH1L2_AD	ALDH1L2	160428	AD	0.3981	0.0247	0.5035	0.4768	0.0000	0.0000	0.0000	0.5035	0.5035	1.0000	0				Proximity to DHFR associated with Megaloblastic anemia due to dihydrofolate reductase deficiency (OMIM:613839): Epileptic spasm (HP:0011097)-Absence seizure with eyelid myoclonia (HP:0011149), 	Proximity to DHFR Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 	
332	MOCOS_AD	MOCOS	55034	AD	0.3981	0.0247	0.2519	0.7615	0.0000	0.2894	0.0000	0.5038	0.5038	0.5000	0		Epileptic spasm (HP:0011097)-increased brain weight (MP:0002176), 		Proximity to GPHN associated with Molybdenum cofactor deficiency C (OMIM:615501): Epileptic spasm (HP:0011097)-Generalized myoclonic seizure (HP:0002123), 	Proximity to GPHN Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 	
334	TBL1XR1_AD	TBL1XR1	79718	AD	0.3983	0.0246	0.9245	0.0000	0.9245	0.0000	0.0000	0.5080	0.9245	1.0000	0	Intellectual developmental disorder, autosomal dominant 41 (OMIM:616944): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 			Proximity to APC2 associated with Cortical dysplasia, complex, with other brain malformations 10 (OMIM:618677): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to APC2 Epileptic spasm (HP:0011097)-seizures (MP:0002064), 	
335	MICU1_AR	MICU1	10367	AR	0.3989	0.0245	0.5584	0.4136	0.5584	0.3147	0.0000	0.0000	0.5584	1.0000	0	Myopathy with extrapyramidal signs (OMIM:615673): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 	Epileptic spasm (HP:0011097)-abnormal brain development (MP:0000913), 				
336	ATP1B1_AR	ATP1B1	481	AR	0.4017	0.0237	0.5082	0.4666	0.0000	0.3125	0.4621	0.5082	0.5082	1.0000	0		Epileptic spasm (HP:0011097)-abnormal neural tube morphology (MP:0002151), 	Epileptic spasm (HP:0011097)-heart decreased functionality, abnormal (ZP:0000233), 	Proximity to ATP1A3 associated with Developmental and epileptic encephalopathy 99 (OMIM:619606): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to ATP1A3 Epileptic spasm (HP:0011097)-seizures (MP:0002064), 	
337	TAS2R42_AR	TAS2R42	353164	AR	0.4017	0.0236	0.5014	0.4743	0.0000	0.0000	0.0000	0.5014	0.5014	1.0000	0				Proximity to GRM7 associated with Early infantile epileptic encephalopathy (ORPHA:1934): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to GRM7 Epileptic spasm (HP:0011097)-seizures (MP:0002064), 	
337	FARP1_AR	FARP1	10160	AR	0.4017	0.0236	0.2642	0.7427	0.0000	0.2642	0.0000	0.0000	0.2642	1.0000	0		Epileptic spasm (HP:0011097)-abnormal retina morphology (MP:0001325), 				
337	NFATC1_AD	NFATC1	4772	AD	0.4019	0.0236	0.5023	0.4731	0.0000	0.0000	0.0000	0.5023	0.5023	1.0000	0				Proximity to PPP3CA associated with Developmental and epileptic encephalopathy 91 (OMIM:617711): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to PPP3CA Epileptic spasm (HP:0011097)-abnormal hippocampal mossy fiber morphology (MP:0002761), 	
337	SMYD3_AD	SMYD3	64754	AD	0.4019	0.0236	0.5000	0.4756	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to DOCK7 associated with Developmental and epileptic encephalopathy 23 (OMIM:615859): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
337	NRXN3_AR	NRXN3	9369	AR	0.4019	0.0236	0.5017	0.4736	0.0000	0.4428	0.0000	0.5017	0.5017	1.0000	0		Epileptic spasm (HP:0011097)-abnormal miniature excitatory postsynaptic currents (MP:0004753), 		Proximity to NACC1 associated with Neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination (OMIM:617393): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to NACC1 Epileptic spasm (HP:0011097)-abnormal retina morphology (MP:0001325), 	
342	TRMT10C_AD	TRMT10C	54931	AD	0.4023	0.0235	0.2500	0.7580	0.0000	0.0000	0.0000	0.5001	0.5001	0.5000	0				Proximity to ATP5F1D associated with Isolated ATP synthase deficiency (ORPHA:254913): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 		
343	GRIK2_AR	GRIK2	2898	AR	0.4047	0.0228	0.8357	0.0919	0.8985	0.5086	0.0000	0.5037	0.8985	1.0000	0	Neurodevelopmental disorder with impaired language and ataxia and with or without seizures (OMIM:619580): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Epileptic spasm (HP:0011097)-abnormal single cell response (MP:0003463), 		Proximity to GRIA2 associated with Neurodevelopmental disorder with language impairment and behavioral abnormalities (OMIM:618917): Epileptic spasm (HP:0011097)-Clonic seizure (HP:0020221), 	Proximity to GRIA2 Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 	
343	STX8_AD	STX8	9482	AD	0.4048	0.0228	0.5056	0.4654	0.0000	0.0000	0.0000	0.5056	0.5056	1.0000	0				Proximity to NAPB associated with Developmental and epileptic encephalopathy 107 (OMIM:620033): Epileptic spasm (HP:0011097)-Tonic seizure (HP:0032792), 	Proximity to NAPB Epileptic spasm (HP:0011097)-seizures (MP:0002064), 	
345	PTCRA_AR	PTCRA	171558	AR	0.4060	0.0224	0.5001	0.4700	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to CUX2 associated with Developmental and epileptic encephalopathy 67 (OMIM:618141): Epileptic spasm (HP:0011097)-Atonic seizure (HP:0010819), 	Proximity to CUX2 Epileptic spasm (HP:0011097)-abnormal neuronal precursor proliferation (MP:0004948), 	
346	STX8_AR	STX8	9482	AR	0.4071	0.0221	0.5056	0.4622	0.0000	0.0000	0.0000	0.5056	0.5056	1.0000	0				Proximity to NAPB associated with Developmental and epileptic encephalopathy 107 (OMIM:620033): Epileptic spasm (HP:0011097)-Tonic seizure (HP:0032792), 	Proximity to NAPB Epileptic spasm (HP:0011097)-seizures (MP:0002064), 	
346	PHF2_AD	PHF2	5253	AD	0.4073	0.0221	0.5000	0.4682	0.0000	0.2894	0.0000	0.5000	0.5000	1.0000	0		Epileptic spasm (HP:0011097)-increased brain weight (MP:0002176), 		Proximity to CHD3 associated with Snijders Blok-Campeau syndrome (OMIM:618205): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
348	OR4K14_AR	OR4K14	122740	AR	0.4074	0.0220	0.5000	0.4681	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to MFF associated with Encephalopathy due to defective mitochondrial and peroxisomal fission 2 (OMIM:617086): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 		
349	FER_AR	FER	2241	AR	0.4085	0.0217	0.5017	0.4646	0.0000	0.2642	0.0000	0.5017	0.5017	1.0000	0		Epileptic spasm (HP:0011097)-abnormal retina morphology (MP:0001325), 		Proximity to CDH2 associated with Agenesis of corpus callosum, cardiac, ocular, and genital syndrome (OMIM:618929): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to CDH2 Epileptic spasm (HP:0011097)-abnormal sensorimotor gating (MP:0002634), 	
349	CDH10_AR	CDH10	1008	AR	0.4087	0.0217	0.5021	0.4639	0.0000	0.0000	0.0000	0.5021	0.5021	1.0000	0				Proximity to CDH2 associated with Agenesis of corpus callosum, cardiac, ocular, and genital syndrome (OMIM:618929): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to CDH2 Epileptic spasm (HP:0011097)-abnormal sensorimotor gating (MP:0002634), 	
351	ZFYVE19_AD	ZFYVE19	84936	AD	0.4099	0.0214	0.2552	0.7418	0.0000	0.0000	0.0000	0.5104	0.5104	0.5000	0				Proximity to UFC1 associated with Neurodevelopmental disorder with spasticity and poor growth (OMIM:618076): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
352	SRP68_AD	SRP68	6730	AD	0.4103	0.0213	0.2501	0.7470	0.0000	0.0000	0.0000	0.5002	0.5002	0.5000	0				Proximity to EIF4A2 associated with Neurodevelopmental disorder with hypotonia and speech delay, with or without seizures (OMIM:620455): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 		
352	MRPS10_AD	MRPS10	55173	AD	0.4103	0.0213	0.5120	0.4505	0.0000	0.0000	0.0000	0.5120	0.5120	1.0000	0				Proximity to HIBCH associated with Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency (ORPHA:88639): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to HIBCH Epileptic spasm (HP:0011097)-abnormal midbrain development (MP:0003864), 	
354	AHRR_AD	AHRR	57491	AD	0.4108	0.0212	0.5001	0.4634	0.0000	0.2642	0.0000	0.5001	0.5001	1.0000	0		Epileptic spasm (HP:0011097)-abnormal retina morphology (MP:0001325), 		Proximity to GAD1 associated with Developmental and epileptic encephalopathy 89 (OMIM:619124): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to GAD1 Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 	
355	FBXL13_AR	FBXL13	222235	AR	0.4112	0.0210	0.5001	0.4627	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to FBXO28 associated with Developmental and epileptic encephalopathy 100 (OMIM:619777): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
356	HACD1_AD	HACD1	9200	AD	0.4118	0.0209	0.5003	0.4618	0.0000	0.2642	0.0000	0.5003	0.5003	1.0000	0		Epileptic spasm (HP:0011097)-abnormal retina morphology (MP:0001325), 		Proximity to ELOVL4 associated with Ichthyosis, spastic quadriplegia, and impaired intellectual development (OMIM:614457): Epileptic spasm (HP:0011097)-Generalized myoclonic seizure (HP:0002123), 	Proximity to ELOVL4 Epileptic spasm (HP:0011097)-abnormal synaptic vesicle exocytosis (MP:0030950), 	
357	CD6_AR	CD6	923	AR	0.4125	0.0207	0.5001	0.4611	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to GRIK2 associated with Neurodevelopmental disorder with impaired language and ataxia and with or without seizures (OMIM:619580): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to GRIK2 Epileptic spasm (HP:0011097)-abnormal single cell response (MP:0003463), 	
357	CTNNA2_AR	CTNNA2	1496	AR	0.4127	0.0207	0.9071	0.0003	0.9071	0.3874	0.0000	0.5019	0.9071	1.0000	0	Cortical dysplasia, complex, with other brain malformations 9 (OMIM:618174): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Epileptic spasm (HP:0011097)-decreased prepulse inhibition (MP:0009142), 		Proximity to CDH2 associated with Agenesis of corpus callosum, cardiac, ocular, and genital syndrome (OMIM:618929): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to CDH2 Epileptic spasm (HP:0011097)-abnormal sensorimotor gating (MP:0002634), 	
